frame_number,loss
1.900000000000000000e+02,6.826132885180413723e-04
1.910000000000000000e+02,6.825705640949308872e-04
1.920000000000000000e+02,6.825514137744903564e-04
1.930000000000000000e+02,6.796821253374218941e-04
1.940000000000000000e+02,6.795891677029430866e-04
1.950000000000000000e+02,6.795701920054852962e-04
1.960000000000000000e+02,6.810796912759542465e-04
1.970000000000000000e+02,6.810678751207888126e-04
1.980000000000000000e+02,6.783099379390478134e-04
1.990000000000000000e+02,6.785079021938145161e-04
2.000000000000000000e+02,6.783373537473380566e-04
2.010000000000000000e+02,6.811406346969306469e-04
2.020000000000000000e+02,6.808811449445784092e-04
2.030000000000000000e+02,6.809602491557598114e-04
2.040000000000000000e+02,6.810300983488559723e-04
2.050000000000000000e+02,6.811714265495538712e-04
2.060000000000000000e+02,6.809892365708947182e-04
2.070000000000000000e+02,6.827766774222254753e-04
2.080000000000000000e+02,6.829079939052462578e-04
2.090000000000000000e+02,6.841627182438969612e-04
2.100000000000000000e+02,6.841000868007540703e-04
2.110000000000000000e+02,6.811189232394099236e-04
2.120000000000000000e+02,6.800785777159035206e-04
2.130000000000000000e+02,6.800591363571584225e-04
2.140000000000000000e+02,6.801302661187946796e-04
2.150000000000000000e+02,6.783359567634761333e-04
2.160000000000000000e+02,6.783176795579493046e-04
2.170000000000000000e+02,6.783483549952507019e-04
2.180000000000000000e+02,6.820096750743687153e-04
2.190000000000000000e+02,6.821168353781104088e-04
2.200000000000000000e+02,6.787019083276391029e-04
2.210000000000000000e+02,6.787018501199781895e-04
2.220000000000000000e+02,6.786836311221122742e-04
2.230000000000000000e+02,6.784287979826331139e-04
2.240000000000000000e+02,6.784004508517682552e-04
2.250000000000000000e+02,6.784178549423813820e-04
2.260000000000000000e+02,6.782509153708815575e-04
2.270000000000000000e+02,6.781988195143640041e-04
2.280000000000000000e+02,6.781805423088371754e-04
2.290000000000000000e+02,6.776921800337731838e-04
2.300000000000000000e+02,6.777675589546561241e-04
2.310000000000000000e+02,6.783244316466152668e-04
2.320000000000000000e+02,6.781446281820535660e-04
2.330000000000000000e+02,6.783566786907613277e-04
2.340000000000000000e+02,6.781163974665105343e-04
2.350000000000000000e+02,6.780373514629900455e-04
2.360000000000000000e+02,6.781212869100272655e-04
2.370000000000000000e+02,6.744537968188524246e-04
2.380000000000000000e+02,6.743887788616120815e-04
2.390000000000000000e+02,6.744274287484586239e-04
2.400000000000000000e+02,6.717828800901770592e-04
2.410000000000000000e+02,6.719407974742352962e-04
2.420000000000000000e+02,6.711416644975543022e-04
2.430000000000000000e+02,6.711369496770203114e-04
2.440000000000000000e+02,6.711705354973673820e-04
2.450000000000000000e+02,6.742970435880124569e-04
2.460000000000000000e+02,6.742862169630825520e-04
2.470000000000000000e+02,6.743113626725971699e-04
2.480000000000000000e+02,6.755639915354549885e-04
2.490000000000000000e+02,6.755337235517799854e-04
2.500000000000000000e+02,6.755597423762083054e-04
2.510000000000000000e+02,6.749070598743855953e-04
2.520000000000000000e+02,6.748642190359532833e-04
2.530000000000000000e+02,6.724062259308993816e-04
2.540000000000000000e+02,6.723878323100507259e-04
2.550000000000000000e+02,6.723694968968629837e-04
2.560000000000000000e+02,6.722909165546298027e-04
2.570000000000000000e+02,6.723898113705217838e-04
2.580000000000000000e+02,6.723715341649949551e-04
2.590000000000000000e+02,6.765673751942813396e-04
2.600000000000000000e+02,6.766846054233610630e-04
2.610000000000000000e+02,6.767078302800655365e-04
2.620000000000000000e+02,6.774829234927892685e-04
2.630000000000000000e+02,6.776161026209592819e-04
2.640000000000000000e+02,6.810707272961735725e-04
2.650000000000000000e+02,6.810107734054327011e-04
2.660000000000000000e+02,6.810564082115888596e-04
2.670000000000000000e+02,6.764541612938046455e-04
2.680000000000000000e+02,6.764995632693171501e-04
2.690000000000000000e+02,6.750907632522284985e-04
2.700000000000000000e+02,6.750241736881434917e-04
2.710000000000000000e+02,6.752208573743700981e-04
2.720000000000000000e+02,6.730629247613251209e-04
2.730000000000000000e+02,6.730435416102409363e-04
2.740000000000000000e+02,6.730686873197555542e-04
2.750000000000000000e+02,6.746535073034465313e-04
2.760000000000000000e+02,6.746156723238527775e-04
2.770000000000000000e+02,6.747010629624128342e-04
2.780000000000000000e+02,6.758011295460164547e-04
2.790000000000000000e+02,6.757424562238156796e-04
2.800000000000000000e+02,6.774099892936646938e-04
2.810000000000000000e+02,6.773884524591267109e-04
2.820000000000000000e+02,6.773702334612607956e-04
2.830000000000000000e+02,6.789591279812157154e-04
2.840000000000000000e+02,6.789690814912319183e-04
2.850000000000000000e+02,6.789508624933660030e-04
2.860000000000000000e+02,6.774080102331936359e-04
2.870000000000000000e+02,6.774483481422066689e-04
2.880000000000000000e+02,6.774300127290189266e-04
2.890000000000000000e+02,6.756248767487704754e-04
2.900000000000000000e+02,6.757096271030604839e-04
2.910000000000000000e+02,6.780614494346082211e-04
2.920000000000000000e+02,6.780151161365211010e-04
2.930000000000000000e+02,6.782434647902846336e-04
2.940000000000000000e+02,6.821357528679072857e-04
2.950000000000000000e+02,6.820662529207766056e-04
2.960000000000000000e+02,6.820895941928029060e-04
2.970000000000000000e+02,6.812440697103738785e-04
2.980000000000000000e+02,6.811824277974665165e-04
2.990000000000000000e+02,6.811940111219882965e-04
3.000000000000000000e+02,6.835629465058445930e-04
3.010000000000000000e+02,6.833525840193033218e-04
3.020000000000000000e+02,6.814266671426594257e-04
3.030000000000000000e+02,6.814469816163182259e-04
3.040000000000000000e+02,6.814368534833192825e-04
3.050000000000000000e+02,6.829836056567728519e-04
3.060000000000000000e+02,6.829653284512460232e-04
3.070000000000000000e+02,6.830453639850020409e-04
3.080000000000000000e+02,6.786017911508679390e-04
3.090000000000000000e+02,6.785835721530020237e-04
3.100000000000000000e+02,6.786307785660028458e-04
3.110000000000000000e+02,6.793476059101521969e-04
3.120000000000000000e+02,6.794030196033418179e-04
3.130000000000000000e+02,6.761533441022038460e-04
3.140000000000000000e+02,6.761136464774608612e-04
3.150000000000000000e+02,6.760954274795949459e-04
3.160000000000000000e+02,6.800066912546753883e-04
3.170000000000000000e+02,6.799760158173739910e-04
3.180000000000000000e+02,6.799577968195080757e-04
3.190000000000000000e+02,6.811789353378117085e-04
3.200000000000000000e+02,6.811745115555822849e-04
3.210000000000000000e+02,6.811993080191314220e-04
3.220000000000000000e+02,6.838293047621846199e-04
3.230000000000000000e+02,6.839362904429435730e-04
3.240000000000000000e+02,6.802182178944349289e-04
3.250000000000000000e+02,6.801154813729226589e-04
3.260000000000000000e+02,6.802022107876837254e-04
3.270000000000000000e+02,6.792128551751375198e-04
3.280000000000000000e+02,6.791350315324962139e-04
3.290000000000000000e+02,6.791756022721529007e-04
3.300000000000000000e+02,6.764013087376952171e-04
3.310000000000000000e+02,6.766603910364210606e-04
3.320000000000000000e+02,6.764926365576684475e-04
3.330000000000000000e+02,6.777654052712023258e-04
3.340000000000000000e+02,6.777929957024753094e-04
3.350000000000000000e+02,6.753034540452063084e-04
3.360000000000000000e+02,6.752228946425020695e-04
3.370000000000000000e+02,6.753585184924304485e-04
3.380000000000000000e+02,6.779802497476339340e-04
3.390000000000000000e+02,6.779584800824522972e-04
3.400000000000000000e+02,6.779839168302714825e-04
3.410000000000000000e+02,6.780417170375585556e-04
3.420000000000000000e+02,6.780016119591891766e-04
3.430000000000000000e+02,6.780333933420479298e-04
3.440000000000000000e+02,6.791910273022949696e-04
3.450000000000000000e+02,6.794166401959955692e-04
3.460000000000000000e+02,6.812055362388491631e-04
3.470000000000000000e+02,6.811596686020493507e-04
3.480000000000000000e+02,6.811413913965225220e-04
3.490000000000000000e+02,6.802209536544978619e-04
3.500000000000000000e+02,6.802749703638255596e-04
3.510000000000000000e+02,6.803206633776426315e-04
3.520000000000000000e+02,6.786844460293650627e-04
3.530000000000000000e+02,6.788236205466091633e-04
3.540000000000000000e+02,6.788141909055411816e-04
3.550000000000000000e+02,6.822337745688855648e-04
3.560000000000000000e+02,6.822752766311168671e-04
3.570000000000000000e+02,6.788028986193239689e-04
3.580000000000000000e+02,6.787917227484285831e-04
3.590000000000000000e+02,6.787667516618967056e-04
3.600000000000000000e+02,6.785727455280721188e-04
3.610000000000000000e+02,6.784520810469985008e-04
3.620000000000000000e+02,6.782716372981667519e-04
3.630000000000000000e+02,6.780786789022386074e-04
3.640000000000000000e+02,6.781087722629308701e-04
3.650000000000000000e+02,6.781301926821470261e-04
3.660000000000000000e+02,6.776295485906302929e-04
3.670000000000000000e+02,6.776808295398950577e-04
3.680000000000000000e+02,6.784034194424748421e-04
3.690000000000000000e+02,6.783852004446089268e-04
3.700000000000000000e+02,6.784213474020361900e-04
3.710000000000000000e+02,6.778403185307979584e-04
3.720000000000000000e+02,6.778220995329320431e-04
3.730000000000000000e+02,6.778591778129339218e-04
